time_s,cpu_x,cpu_y,cpu_z,cuda_x,cuda_y,cuda_z,diff_m
60300,4323385.133230611,-3405495.50772181,-3956522.846897866,4323359.0,-3405508.5,-3956540.5,34.10831349784092
60600,5811598.66916853,-2380843.014003998,-2549517.4352344843,5811581.0,-2380861.0,-2549541.0,34.5107771939938
60900,6636399.976103341,-1084822.7988878328,-851167.7587681633,6636393.5,-1084843.8,-851194.5,34.58297985533757
61200,6703655.315082087,334894.2380516933,944448.4990030649,6703660.5,334872.7,944421.56,34.88387663972728
61500,6005705.091743622,1716532.7015227564,2632138.5862042704,6005721.5,1716513.0,2632114.5,35.178489342785895
61800,4622236.187006277,2902646.7593960227,4019042.936206968,4622262.0,2902631.0,4019024.5,35.419809927623504
62100,2711183.8672260568,3758061.937888555,4946674.055409773,2711216.2,3758052.2,4946663.5,35.410675062742705
62400,490702.0324238522,4185280.0990687697,5309027.567181366,490737.44,4185277.5,5309026.0,35.53492131600686
62700,-1785739.9323909169,4135592.0006285384,5064695.785491901,-1785705.6,4135596.8,5064704.0,35.59538936580626
63000,-3858290.9020646103,3614630.864677214,4241599.548348005,-3858261.5,3614642.8,4241616.0,35.72672885165172
63300,-5490379.534372906,2681733.7684728284,2933797.584181526,-5490358.5,2681751.2,2933821.0,36.00484954286979
63600,-6495717.757117892,1443183.2484910232,1290738.01854439,-6495708.0,1443204.5,1290765.5,36.08404613928604
63900,-6759563.894657011,40098.88209407247,-499819.7025746809,-6759566.0,40121.5,-499791.28,36.38370286632449
64200,-6251818.432799909,-1367641.6896037862,-2233260.8879256947,-6251832.5,-1367620.2,-2233234.8,36.61603321666973
64500,-5030457.7660988895,-2619620.290528618,-3711497.7971600383,-5030482.5,-2619602.5,-3711477.0,36.8888958671926
64800,-3234914.206157037,-3573158.4735425427,-4765605.974389007,-3234946.8,-3573146.5,-4765593.0,37.024346124283966
65100,-1070158.1516993477,-4119577.423486652,-5275127.96845993,-1070194.8,-4119572.8,-5275124.0,37.10829775592913
65400,1216700.3691255301,-4196584.498478607,-5181838.521246734,1216663.9,-4196587.5,-5181844.5,37.10223469677024
65700,3364619.7207560604,-3795374.6732373983,-4496398.216998269,3364587.5,-3795385.2,-4496413.5,37.19697797072201
66000,5128424.2474026,-2961637.312633485,-3297135.2517674896,5128400.0,-2961654.2,-3297158.0,37.31344261329651
66300,6306790.0603061095,-1790353.1598602626,-1721094.535340845,6306776.5,-1790374.5,-1721122.4,37.607580188914845
66600,6765224.557227692,-414974.04230338114,51623.016915734624,6765223.5,-414997.53,51593.285,37.9054859579355
66900,6451416.740230204,1007782.0549642196,1818441.3861731354,6451428.5,1007759.1,1818413.1,38.246167804920745
67200,5401206.319827077,2315788.174075408,3377458.678481533,5401229.5,2315768.5,3377435.2,38.38337409410884
67500,3734490.4821844944,3359983.106586433,4550519.31797953,3734522.5,3359969.0,4550503.5,38.39719738430418
67800,1641535.806459551,4021358.42813878,5203572.646742437,1641573.2,4021351.2,5203566.0,38.70043388291515
68100,-638741.9619749673,4224522.009526241,5261991.466965566,-638703.44,4224523.0,5261995.0,38.698818355099135
68400,-2846050.7653643964,3946292.163122528,4719100.010131608,-2846015.5,3946301.2,4719113.5,38.83547112417531
68700,-4728434.441046113,3218342.758298292,3636936.805639543,-4728406.5,3218358.8,3636958.8,38.96141087386951
69000,-6071032.642460508,2123597.488205777,2139165.272633882,-6071015.5,2123618.8,2139193.2,39.09809280222596
69300,-6720605.622426596,786783.7576140387,396942.1720357262,-6720601.0,786807.94,396973.0,39.45119889182028
69600,-6603024.543716081,-639777.7777512115,-1390641.2087797718,-6603033.5,-639753.44,-1390611.1,39.72022980837538
69900,-5731731.0236396035,-1993529.0016275388,-3019310.069154027,-5731752.5,-1993507.4,-3019284.2,39.944634048243614
70200,-4206200.512543324,-3120197.9064825694,-4302949.45055595,-4206232.0,-3120181.5,-4302930.5,40.24619446641653
70500,-2200585.1705437866,-3891379.1831359426,-5094872.389139565,-2200623.2,-3891369.8,-5094863.0,40.33838099111379
70800,56167.11049079325,-4219168.384153979,-5304582.462666812,56126.863,-4219167.0,-5304583.5,40.28436195843272
71100,2306447.949038083,-4066181.833804214,-4908115.203843151,2306410.0,-4066189.0,-4908127.0,40.3810991663893
71400,4293394.540287287,-3449820.15498609,-3950776.622521294,4293363.5,-3449835.0,-3950797.5,40.24603073561922
71700,5790209.829807237,-2440289.1675551576,-2541965.894124917,5790189.0,-2440310.0,-2541993.8,40.54406743609417
72000,6626049.972035128,-1152603.2516200626,-842673.8478354648,6626042.0,-1152627.9,-842705.5,40.88671793362455
72300,6705524.1775015555,266517.99201947975,952914.1442174511,6705530.0,266492.44,952882.3,41.23339896083461
72600,6019581.263154684,1655366.9582770197,2639608.5602034694,6019600.5,1655343.4,2639580.2,41.5655481521516
72900,4646540.467711469,2855674.3835135987,4024663.6131037814,4646570.5,2855655.5,4024642.0,41.540964063150895
73200,2743149.136183143,3730645.1759496382,4949803.136408463,2743187.2,3730633.2,4949791.0,41.739474368477985
